id;nome;email;telefone;valor_total;valor_com_desconto
24;Seth Fallon;felis.purus.ac@Vivamusnibh.edu;+556320617999;10.14;10.14
25;Chaney Ferris;vitae.sodales.at@Inlorem.edu;+553413509432;62.15;62.15
26;Indigo Kiayada;Nullam@etipsum.net;+552477798325;6.05;6.05
27;Kieran Ryan;ultrices.iaculis.odio@ornare.net;+550092963269;76.72;76.72
28;Hall Rama;lacinia.orci@Nullamvelit.ca;+555492539571;30.94;30.94
29;Yardley Hakeem;quam.elementum@Aliquam.ca;+551180473667;56.14;56.14
30;Cheyenne Noah;a.tortor@vitae.co.uk;+551790515787;91.83;91.83
31;Joseph Isabelle;Morbi.neque.tellus@nuncQuisque.com;+557346414767;18.47;18.47
32;Preston Harlan;Mauris@Suspendissealiquet.net;+556142668148;11.77;11.77
33;Sean Theodore;Nulla.interdum.Curabitur@a.net;+559636266885;38.26;38.26
34;Cole Tara;luctus.aliquet@sitametdiam.ca;+553524152433;77.40;77.40
35;Gregory Cherokee;feugiat@tellus.com;+557545215131;84.16;84.16
36;Brynne Keane;libero@tempor.ca;+552091555911;78.12;78.12
37;Hamilton Armand;sapien.Aenean.massa@facilisis.co.uk;+555104393817;10.91;10.91
38;Courtney Ivory;lacus.Aliquam.rutrum@eleifendnunc.net;+559781749315;86.53;86.53
39;Tatyana Josiah;euismod.est@mollisnon.net;+557367208450;74.90;74.90
40;Buckminster Gay;lobortis.nisi.nibh@Proinnisl.org;+555141411873;64.82;64.82
41;Warren Buckminster;Nulla.aliquet@vitaedolor.ca;+556767602107;99.34;99.34
42;Chiquita Caryn;Cras@nuncsit.net;+557599514902;80.67;80.67
43;Cally Beatrice;eget@hendreritDonecporttitor.edu;+559071364975;82.01;82.01
44;Kitra Flynn;Aliquam@magnaPhasellusdolor.org;+556088856133;75.77;75.77
45;Chancellor Xerxes;ipsum.nunc@ipsumdolorsit.co.uk;+555284693158;31.72;31.72
46;Hedwig Mollie;metus@Mauris.edu;+557337974457;25.95;25.95
47;Mikayla Amela;lorem.auctor@neque.co.uk;+559784925612;60.60;60.60
48;Gray Armand;ligula@sedconsequatauctor.co.uk;+550682538411;38.72;38.72
49;Jelani Bertha;erat.nonummy@ligulaelitpretium.org;+556604190157;80.60;80.60
50;Nicole Nomlanga;metus.facilisis@mauriselit.org;+554772739716;94.20;94.20
51;John Clark;elementum.sem.vitae@semeget.edu;+554682515530;97.08;97.08
52;Summer Jaquelyn;non.dui.nec@arcuNunc.edu;+559990153571;93.16;93.16
53;Alan Ezekiel;Curae@odio.org;+554106961671;48.69;48.69
54;Inga Riley;semper.auctor@Donecvitaeerat.com;+551962083252;81.58;81.58
55;Denton Christen;vulputate.risus.a@sapiencursus.co.uk;+559771178149;3.02;3.02
56;Rahim Denton;interdum@quis.org;+557505791161;50.97;50.97
57;Kasper Dylan;risus@felisegetvarius.com;+551400560221;96.63;96.63
58;Brandon Stewart;sed.sem@varius.edu;+550386112474;44.89;44.89
59;Clementine Hakeem;ipsum.non@Classaptent.edu;+555739327432;51.59;51.59
60;Hasad Travis;iaculis.nec.eleifend@egetodio.net;+553849847591;81.86;81.86
61;Yardley Roary;nibh@sedest.edu;+553438671731;73.20;73.20
62;Nissim Damian;sed@telluseuaugue.org;+553442398517;63.28;63.28
63;Octavius Raven;rhoncus.Donec@orci.com;+559332387401;23.44;23.44
64;Tyler Ali;malesuada.Integer@massa.com;+550663276658;79.02;79.02
65;Stacy Adele;eu@velit.com;+551584860124;10.74;10.74
66;Kieran Yvette;tellus.justo.sit@sit.org;+555959713405;32.30;32.30
67;Herrod Lillian;eu.augue.porttitor@a.co.uk;+555144101219;41.11;41.11
68;Jonas Flynn;mi.fringilla.mi@venenatis.com;+554914200187;79.35;79.35
69;Beau Marvin;at@nonummyacfeugiat.org;+555841067580;33.36;33.36
70;Sean Justine;et.commodo@pellentesqueegetdictum.edu;+557949431180;12.95;12.95
71;MacKensie Emi;amet.lorem.semper@enim.com;+559337663912;66.59;66.59
72;Ocean Kennedy;Morbi.quis@arcuAliquamultrices.ca;+553864932419;73.51;73.51
73;Sara Jennifer;lectus@Quisqueporttitor.org;+551944676354;41.11;41.11
74;Craig Katelyn;tellus@luctussit.edu;+552305587304;23.33;23.33
75;James Hamish;fringilla.est@cursuset.co.uk;+553677508785;69.74;69.74
76;Darrel Iola;mauris.rhoncus.id@atarcu.org;+553073353875;45.97;45.97
77;Nero Molly;non@egestasa.co.uk;+552266511614;12.44;12.44
78;Tasha Brianna;tincidunt.congue.turpis@semeget.com;+558396110994;22.50;22.50
79;Denton Kristen;natoque.penatibus.et@Integer.ca;+554495942907;53.35;53.35
80;Dante Brenna;amet.ornare.lectus@ante.org;+551209182346;72.91;72.91
81;Lynn Ahmed;sed.sapien@estNunc.com;+555208406975;33.72;33.72
82;Timothy Holmes;mollis.Duis.sit@pellentesque.edu;+555570338592;85.45;85.45
83;Indigo Nichole;auctor.odio@vestibulumneque.org;+559063751301;99.32;99.32
84;Gabriel Xavier;arcu@natoque.ca;+555832458887;69.65;69.65
85;Cruz Yoshio;semper@velit.edu;+552621849435;86.00;86.00
86;Asher Hamish;Cras.sed.leo@vulputateeu.co.uk;+555189053641;6.13;6.13
87;Colton Jasper;vitae.sodales@elitpretium.co.uk;+553579937651;15.18;15.18
88;Rina Reed;dui.quis@nunc.edu;+554481499802;30.65;30.65
89;Tanek Gail;mauris.sapien@urna.ca;+551122469242;47.82;47.82
90;Pandora Berk;interdum.Sed.auctor@eutellus.edu;+552544975579;93.63;93.63
91;Shana Geraldine;venenatis.a@ametnulla.ca;+558539984504;35.37;35.37
92;Baxter Heather;Aliquam.nisl@gravidanuncsed.edu;+557268418477;76.19;76.19
93;Marah Nomlanga;blandit@sollicitudinorci.co.uk;+552596884945;17.99;17.99
94;Porter Ava;Aliquam.adipiscing.lobortis@Sednulla.ca;+559491973729;38.73;38.73
95;Wing Sophia;Nulla.aliquet@erosNam.com;+555031091798;75.03;75.03
96;Palmer Lucas;tincidunt@vulputate.com;+557938271680;64.31;64.31
97;Medge Garrison;at@euodioPhasellus.co.uk;+552642873845;59.14;59.14
98;Alfreda Veronica;Maecenas.libero.est@nunc.com;+556236397032;12.26;12.26
99;Buffy Angelica;ipsum@Maecenas.net;+553105702421;1.70;1.70
100;Zachery Magee;faucibus@Namconsequatdolor.com;+550823723422;54.85;54.85
